id_alarma,codigo_oc,prefijo_cliente,nombre_organismo,monto,fecha_creacion,fecha_envio,fecha_cierre,estado_oc,categoria,plazo,fecha_limite,fecha_detectada,estado_alarma,fecha_gestion,ejecutivo_gestion
4cc4cffc-a37c-4a92-b3a3-b41c9940fd4c,1952-678-SE26,1952,Hospital Villarrica,75429000.0,2026-02-24T11:29:16.363,2026-02-24T13:39:56.747,,Recepción Conforme,ALIMENTACION,24 horas desde emisión,2026-02-25T13:39:56.747000,2026-03-16T11:19:59.938606,ACTIVA,,
9b7b643d-49b7-42dc-b825-127f0222ecc4,1079454-54-CM26,1079454,DIRECCION DE LOGISTICA DE CARABINEROS,36482773.0,2026-03-03T12:24:30.63,2026-03-17T12:19:37.37,,Enviada a proveedor,ALIMENTACION,3 días corridos,2026-03-20T12:19:37.370000,2026-03-17T15:26:08.409254,ACTIVA,,
c76dde63-9e28-4c4f-96c6-8bf50d471c3f,1057508-1437-SE26,1057508,,,,,,,,24 horas desde emisión,,2026-03-21T01:41:00.189386,ACTIVA,,
7bc267f8-d79d-402c-b33f-adcd8d24c501,1057508-1438-SE26,1057508,SERVICIO DE SALUD NUBLE,3309244.0,2026-03-19T15:59:56.023,2026-03-20T14:49:17.37,,Enviada a proveedor,ALIMENTACION,24 horas desde emisión,2026-03-21T14:49:17.370000,2026-03-21T01:41:00.189386,ACTIVA,,
44d53ee5-dda6-4dba-aba2-e8b913f11124,1057508-1436-SE26,1057508,SERVICIO DE SALUD NUBLE,3138235.0,2026-03-19T15:23:53.65,2026-03-20T14:43:11.69,,Enviada a proveedor,ALIMENTACION,24 horas desde emisión,2026-03-21T14:43:11.690000,2026-03-21T01:41:00.189386,ACTIVA,,
6d33d0a7-2073-4ee2-9e57-521b45f3f2f2,1171142-1183-SE26,1171142,HOSPITAL COMPLEJO ASISTENCIAL PADRE LAS CASAS,52067647.0,2026-03-20T08:37:32.243,2026-03-23T11:01:15.917,,Enviada a proveedor,ALIMENTACION,24 horas desde emisión,2026-03-24T11:01:15.917000,2026-03-23T14:27:31.357128,ACTIVA,,
fd8d9a53-f8d6-4fa0-99e8-3e3e0af955e2,1063538-2390-SE26,1063538,HOSPITAL BASE OSORNO,157703131.0,2026-03-23T11:45:17.23,2026-03-23T14:49:50.25,,Enviada a proveedor,ALIMENTACION,24 horas desde emisión,2026-03-24T14:49:50.250000,2026-03-23T23:15:58.188231,ACTIVA,,
12a6b0a3-7511-4738-9df5-d6547b9ee6af,1952-932-SE26,1952,,,,,,,,24 horas desde emisión,,2026-03-24T16:26:37.605898,ACTIVA,,
1dade559-db72-44dd-9464-0fd99884986d,1627-369-SE26,1627,SERVICIO DE SALUD HOSPITAL DE SAN FERNANDO,63955849.0,2026-03-20T14:41:59.49,2026-03-24T14:20:01.493,,Aceptada,ALIMENTACION,Emiten OC entre el 13 de cada mes,,2026-03-25T00:26:36.616265,ACTIVA,,
8f9dd285-8f96-4ff4-b01e-ff8677d0f5c3,1057374-183-CM26,1057374,,,,,,,,24 horas desde emisión,,2026-03-26T18:28:08.879856,ACTIVA,,
9a12684d-becc-4efa-a59b-5e98c73a714e,1057508-1465-SE26,1057508,SERVICIO DE SALUD NUBLE,34765546.0,2026-03-30T12:41:59.967,2026-03-30T15:36:07.33,,Aceptada,ALIMENTACION,24 horas desde emisión,2026-03-31T15:36:07.330000,2026-03-30T22:27:20.593544,ACTIVA,,
0ea2458b-7fde-45eb-b6ce-435168b66c18,1398-386-SE26,1398,SERVICIO DE SALUD LIBERTADOR BDO OHIGGINS,41918897.0,2026-03-30T07:44:44.47,2026-03-30T14:01:54.78,,Aceptada,ALIMENTACION,24 horas desde emisión,2026-03-31T14:01:54.780000,2026-03-30T22:27:20.593544,ACTIVA,,
5c93e437-2fba-4901-ade7-0ac3044cb68e,1382-308-SE26,1382,Consultorio Miraflores,17818487.0,2026-04-01T09:24:53.943,2026-04-01T15:22:16.88,,Aceptada,ALIMENTACION,24 horas desde emisión,2026-04-02T15:22:16.880000,2026-04-02T00:26:52.075507,ACTIVA,,
2c159307-e045-40c6-bdc1-712bceb52509,1380-4895-SE26,1380,HOSPITAL DOCTOR HERNAN HENRIQUEZ ARAVENA,73123109.0,2026-04-10T15:48:32.98,2026-04-10T16:09:19.113,,Enviada a proveedor,ALIMENTACION,24 horas desde emisión,2026-04-11T16:09:19.113000,2026-04-10T20:11:35.507395,ACTIVA,,
31884fad-6cf4-45a1-9847-f39b0e37be97,1951-253-SE26,1951,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL CARAHUE,16063866.0,2026-04-10T09:59:17.657,2026-04-10T16:04:25.237,,Enviada a proveedor,ALIMENTACION,24 horas desde emisión,2026-04-11T16:04:25.237000,2026-04-10T20:11:35.507395,ACTIVA,,
db999617-84d9-4696-9f6c-6185675bf8af,1175-295-SE26,1175,SERVICIO DE SALUD ARAUCANIA SUR,36563445.0,2026-04-14T11:27:09.407,2026-04-14T14:55:28.34,,Enviada a proveedor,ALIMENTACION,24 horas desde emisión,2026-04-15T14:55:28.340000,2026-04-14T19:31:40.042822,ACTIVA,,
867641a4-eba8-4152-851e-4f87a24ddea8,1079454-101-CM26,1079454,DIRECCION DE LOGISTICA DE CARABINEROS,36932353.0,2026-04-10T09:21:38.37,2026-04-15T17:47:59.753,,Enviada a proveedor,ALIMENTACION,3 días corridos,2026-04-18T17:47:59.753000,2026-04-15T22:17:03.197747,ACTIVA,,
51bab175-4c2b-4c0e-8711-f86913aa7a3e,1079454-102-CM26,1079454,DIRECCION DE LOGISTICA DE CARABINEROS,1109244.0,2026-04-10T09:41:31.34,2026-04-15T17:36:07.88,,Enviada a proveedor,ALIMENTACION,3 días corridos,2026-04-18T17:36:07.880000,2026-04-15T22:17:03.197747,ACTIVA,,
aa5ee2a1-9bac-4481-abfa-38b642c8309b,2067-217-SE26,2067,SERVICIO SALUD ARAUCANIA SUR HOSPIT DR EDUARDO GONZALEZ GALENO CUNCO,12267227.0,2026-04-16T12:33:29.127,2026-04-16T12:40:33.123,,Enviada a proveedor,ALIMENTACION,24 horas desde emisión,2026-04-17T12:40:33.123000,2026-04-16T17:31:34.179503,ACTIVA,,
589249f0-d637-4ba0-b994-a99688a19d54,1382-359-SE26,1382,Consultorio Miraflores,3407143.0,2026-04-17T12:15:20.72,2026-04-17T12:49:02.8,,Enviada a proveedor,ALIMENTACION,24 horas desde emisión,2026-04-18T12:49:02.800000,2026-04-17T17:19:06.925987,ACTIVA,,
