Codigo,Nombre,CodigoEstado,Estado,CodigoLicitacion,Descripcion,CodigoTipo,Tipo,TipoMoneda,CodigoEstadoProveedor,EstadoProveedor,TieneItems,PromedioCalificacion,CantidadEvaluacion,Descuentos,Cargos,TotalNeto,PorcentajeIva,Impuestos,Total,Financiamiento,Pais,TipoDespacho,FormaPago,Fechas.FechaCreacion,Fechas.FechaEnvio,Fechas.FechaAceptacion,Fechas.FechaCancelacion,Fechas.FechaUltimaModificacion,Comprador.CodigoOrganismo,Comprador.NombreOrganismo,Comprador.RutUnidad,Comprador.CodigoUnidad,Comprador.NombreUnidad,Comprador.Actividad,Comprador.DireccionUnidad,Comprador.ComunaUnidad,Comprador.RegionUnidad,Comprador.Pais,Comprador.NombreContacto,Comprador.CargoContacto,Comprador.FonoContacto,Comprador.MailContacto,Proveedor.Codigo,Proveedor.Nombre,Proveedor.Actividad,Proveedor.CodigoSucursal,Proveedor.NombreSucursal,Proveedor.RutSucursal,Proveedor.Direccion,Proveedor.Comuna,Proveedor.Region,Proveedor.Pais,Proveedor.NombreContacto,Proveedor.CargoContacto,Proveedor.FonoContacto,Proveedor.MailContacto,Items.Cantidad,Items.Listado,CategoriaProducto,FechaProcesamiento,NombreProductoGenerico,EspecificacionComprador,EspecificacionProveedor,CodigoOrganismoPublico,NombreOrganismoPublico,Monto
1057508-1558-SE26,RECARGA TARJETA ALIMENTACION TRANSITORIO SAMU,12,Recepción Conforme,1057508-35-LR25,"RECARGA TARJETA ALIMENTACION TRANSITIORIO SAMU,  RESOLUCION EXENTA 3DN°2708 DEL 12/06/2025, ID 1057508-35-LR25

 MARZO 2026
-	Dirección envió documento tributario electrónico “DTE” a la casilla de intercambio en SII es  dipresrecepcion@custodium.com , el DTE que no se encuentre direccionado a dicha casilla de ""intercambio en SII"" será reclamado de forma automática transcurrida 48 horas desde la recepción del DTE en SII. 
-	El DTE debe contener el campo 801 o campo de referencia con el número de la orden de compra correctamente, esto dado que el sistema se encuentra integrado con mercado público, SIGFE y SII. 
-	Orden de compra en estado aceptada en Mercado Público.
",8,SE,CLP,7,Recepción Conforme,1,4.767676767676767,99,75170.0,0.0,1978151.0,19.0,361566.0,2264547.0,,Other,7,2,2026-04-16T16:03:59.9,2026-04-20T10:41:49.62,2026-04-21T10:18:57.407,,2026-04-16T16:07:00,6932,SERVICIO DE SALUD NUBLE,61.607.000-2,1057508,Bienes y Servicios,Servicio Público,Sin dirección Registrada para Unidad de Compra,Chillán,Región del Ñuble,Other,Ruth Elena Saavedra Cádiz,Jefa Unidad Adquisiciones SSÑ,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 93131600, 'Categoria': 'Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Ayuda y asistencia humanitaria / Política, planificación y programas de alimentación y nutrición', 'CodigoProducto': 93131608, 'Producto': 'Servicios de suministro de alimentos', 'EspecificacionComprador': 'RECARGA TARJETA ALIMENTACION', 'EspecificacionProveedor': 'RECARGA TARJETA ALIMENTACION - TRANSITORIO SAMU (MARZO 2026)', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 1978151.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 1978151.0}]",ALIMENTACION,2026-04-23T15:36:13.371440,,,,,,
2123-29-SE26,E1O2RT9 DAF Administración Beneficio Sala Cuna (Refrendación 06),12,Recepción Conforme,2123-4-LE26,"E1O2RT9 Administración Beneficio Sala Cuna DESDE 2123-4-LE26
Para recepcionar factura en nuestra plataforma electrónica, debe indicar OC en referencia (campo 801 compra bajo el siguiente formato 2123-xxxx-xxxx). Solo se procederá al pago si se ha aceptado la OC. Se aceptará irrevocablemente la factura si no se reclamara dentro de 8 días corridos siguientes a su recepción. Enviar facturación electrónica a subsalrecepcion@custodium.com",8,SE,CLP,7,Recepción Conforme,1,4.767676767676767,99,0.0,0.0,21008403.0,19.0,3991597.0,25000000.0,210,CL,12,2,2026-02-25T15:26:00.87,2026-02-26T16:49:38.893,2026-02-26T17:42:20.61,,2026-03-19T09:48:00,7079,SUBSECRETARIA DE SALUD PUBLICA,61.601.000-K,3118,Seremi de Salud V Región,GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA| OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.,"Melgarejo 669, piso 6",Valparaíso,Región de Valparaíso ,CL,Ivet Flores Soto,Jefa Unidad Administracion Interna y Servicios,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 91111900, 'Categoria': 'Servicios de cuidado personal y domésticos / Servicio doméstico y de cuidados / Cuidado de niños, personas enfermas y ancianos', 'CodigoProducto': 91111901, 'Producto': 'Jardines infantiles o salas cunas', 'EspecificacionComprador': 'Administración Beneficio Sala Cuna', 'EspecificacionProveedor': 'Se ingresa monto referencial de 1 conforme a lo establecido en artículo 13 de las bases administrativas', 'Cantidad': 21008403.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 1.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 21008403.0}]",SALA CUNA,2026-04-23T15:36:13.371440,,,,,,
5769-59-CM26,TARJETAS DE ALIMENTACIÓN FUNCIONARIOS NLAB Y NCOL,12,Recepción Conforme,,"Coordinar servicio con Francisco Pinto - 229783914 - fpintoc@fen.uchile.cl

Razón social: Universidad de Chile
Rut: 60.910.000-1, 
Giro: Enseñanza superior en universidades públicas
Dirección: Diagonal Paraguay 257, Santiago
",9,CM,CLP,7,Recepción Conforme,1,4.767676767676767,99,34244.0,0.0,684874.0,19.0,123620.0,774250.0,1205 3206 4801 001,CL,12,2,2026-04-09T09:27:22.327,2026-04-09T11:13:36.113,2026-04-09T17:05:46.363,,2026-04-09T09:36:00,7251,UNIVERSIDAD DE CHILE,60.910.000-1,287042,FEN Gabinete Escuela de Economía y Administración,VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIA| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| UNIVERSIDADES| HOSPITALES Y CLINICAS,Diagonal Paraguay 257,Santiago,Región Metropolitana de Santiago,CL,Francisco Andres Pinto Canales,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,AV ANDRES BELLO N° 2687,,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 684874.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 684874.0}]",ALIMENTACION,2026-04-23T15:36:13.371440,,,,,,
1057508-1559-SE26,RECARGA TARJETA ALIMENTACION TRANS. SIN SAMU,12,Recepción Conforme,1057508-35-LR25,"RECARGA TARJETA ALIMENTACION TRANSITIORIO SIN SAMU,  RESOLUCION EXENTA 3DN°2708 DEL 12/06/2025, ID 1057508-35-LR25

 MARZO 2026
-	Dirección envió documento tributario electrónico “DTE” a la casilla de intercambio en SII es  dipresrecepcion@custodium.com , el DTE que no se encuentre direccionado a dicha casilla de ""intercambio en SII"" será reclamado de forma automática transcurrida 48 horas desde la recepción del DTE en SII. 
-	El DTE debe contener el campo 801 o campo de referencia con el número de la orden de compra correctamente, esto dado que el sistema se encuentra integrado con mercado público, SIGFE y SII. 
-	Orden de compra en estado aceptada en Mercado Público.
",8,SE,CLP,7,Recepción Conforme,1,4.767676767676767,99,139099.0,0.0,3660504.0,19.0,669067.0,4190472.0,,Other,7,2,2026-04-16T16:14:42.057,2026-04-20T10:38:49.343,2026-04-21T10:18:38.033,,2026-04-16T16:17:00,6932,SERVICIO DE SALUD NUBLE,61.607.000-2,1057508,Bienes y Servicios,Servicio Público,Sin dirección Registrada para Unidad de Compra,Chillán,Región del Ñuble,Other,Ruth Elena Saavedra Cádiz,Jefa Unidad Adquisiciones SSÑ,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 93131600, 'Categoria': 'Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Ayuda y asistencia humanitaria / Política, planificación y programas de alimentación y nutrición', 'CodigoProducto': 93131608, 'Producto': 'Servicios de suministro de alimentos', 'EspecificacionComprador': 'RECARGA TARJETA ALIMENTACION', 'EspecificacionProveedor': 'RECARGA TARJETA ALIMENTACION - TRANSITORIO SIN SAMU (MARZO 2026)', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 3660504.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 3660504.0}]",ALIMENTACION,2026-04-23T15:36:13.371440,,,,,,
904228-10-CM26,2604207 CARGA BENEFICIO ALIMENTACIÓN PRIMER SEMESTRE 2026,4,Enviada a proveedor,,"DEPARTAMENTO FINANZAS
SOLICITUD 2604207, 15.01.2026
CDP N°71, 16.01.2026
REX N°8, de fecha 22.04.2026, aprueba Acuerdo Complementario N°1-2026",9,CM,CLP,1,Nueva orden de compra,1,4.767676767676767,99,0.0,0.0,168924370.0,19.0,32095630.0,201020000.0,2201001,CL,7,2,2026-04-23T11:17:41.417,2026-04-23T11:32:28.64,,,2026-04-23T11:29:00,113812,DIRECCION DE LOGISTICA DE CARABINEROS,74.069.500-2,904228,CUENTA FISCAL,Comercial,Antonio Varas 2500,Ñuñoa,Región Metropolitana de Santiago,CL,Sandra Leonor Vergara Reyes,Jefe Oficina Adquisi,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,AV ANDRES BELLO N° 2687,Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 93151500, 'Categoria': 'Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Administración y finanzas públicas / Administración pública', 'CodigoProducto': 93151507, 'Producto': 'Procedimientos administrativos', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -   1964920', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -  ; Código: ;Región : RM\r\n', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 168924370.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 168924370.0}]",ALIMENTACION,2026-04-23T15:36:13.371440,,,,,,
507428-400-CM26,Orden de Compra: 507428-400-CM26,4,Enviada a proveedor,,"Orden de Compra codigo: 507428-400-CM26 dirigida a EDENRED CHILE SOCIEDAD ANONIMA
FORMULARIO DE REQUERIMIENTO N° 27-2026 SUBDEPARTAMENTO GESTION DE LAS PERSONAS
MONTO PARA CARGAR EN PLATAFORMA EDENRED $ 30.000.000",9,CM,CLP,1,Nueva orden de compra,1,4.767676767676767,99,1260504.0,0.0,25210084.0,19.0,4550420.0,28500000.0,1471,CL,12,2,2026-04-23T09:10:15.3,2026-04-23T10:58:20.827,,,2026-04-23T09:18:00,16223,SERVICIO DE SALUD CHILOE,61.979.210-6,507428,Servicio de Salud Chiloé,Servicio Público,"Avda. Bernardo O'Higgins 504, Castro",Castro,Región de los Lagos ,CL,Carlos Eduardo Hernandez Garrido,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,AV ANDRES BELLO N° 2687,,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 25210084.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 25210084.0}]",ALIMENTACION,2026-04-23T15:36:13.371440,,,,,,
1057508-1556-SE26,RECARGA TARJETA ALIMENTACION P REHABILITACION ,12,Recepción Conforme,1057508-35-LR25,"RECARGA TARJETA ALIMENTACION  PROGRAMA REHABILITACION,  RESOLUCION EXENTA 3DN°2708 DEL 12/06/2025, ID 1057508-35-LR25

 MARZO 2026
-	Dirección envió documento tributario electrónico “DTE” a la casilla de intercambio en SII es  dipresrecepcion@custodium.com , el DTE que no se encuentre direccionado a dicha casilla de ""intercambio en SII"" será reclamado de forma automática transcurrida 48 horas desde la recepción del DTE en SII. 
-	El DTE debe contener el campo 801 o campo de referencia con el número de la orden de compra correctamente, esto dado que el sistema se encuentra integrado con mercado público, SIGFE y SII. 
-	Orden de compra en estado aceptada en Mercado Público.
",8,SE,CLP,7,Recepción Conforme,1,4.767676767676767,99,1932.0,0.0,50840.0,19.0,9293.0,58201.0,,Other,7,2,2026-04-16T15:34:39.467,2026-04-20T10:45:56.207,2026-04-21T10:19:34.287,,2026-04-16T15:39:00,6932,SERVICIO DE SALUD NUBLE,61.607.000-2,1057508,Bienes y Servicios,Servicio Público,Sin dirección Registrada para Unidad de Compra,Chillán,Región del Ñuble,Other,Ruth Elena Saavedra Cádiz,Jefa Unidad Adquisiciones SSÑ,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 93131600, 'Categoria': 'Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Ayuda y asistencia humanitaria / Política, planificación y programas de alimentación y nutrición', 'CodigoProducto': 93131608, 'Producto': 'Servicios de suministro de alimentos', 'EspecificacionComprador': 'RECARGA TARJETA ALIMENTACION', 'EspecificacionProveedor': 'RECARGA TARJETA ALIMENTACION - PROGRAMA REHABILITACION (MARZO 2026)', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 50840.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 50840.0}]",ALIMENTACION,2026-04-23T15:36:13.371440,,,,,,
1057511-493-SE26,ALIMENTACIÓN PARA FUNCIONARIOS TURNOS ABRIL 2026,12,Recepción Conforme,1057511-17-LR25,"Res. Ex. 2685 de 29-09-2025 ID: 1057511-17-LR25
Requisitos al momento de emitir una factura: 1.- Dirección envió “DTE” a la casilla de intercambio dipresrecepcion@custodium.com el DTE que no se encuentre direccionado a dicha casilla será reclamado de forma automática transcurrida 72 horas desde la recepción del DTE en SII. (Envió formato XML) 2.- El DTE debe contener el campo 801 o campo de referencia con el número de la orden de compra correctamente. Ej. 1058104-XX-SE22 (Con Mayúscula) 3.- Orden de compra en estado aceptada en www.mercadopublico.cl 4.- Método de pago de un DTE “al crédito"" 5.- Al momento de facturar debe considerar los siguientes puntos: • Modelo ( si corresponde) • N° Lote/ serie • Fecha de vencimiento si corresponde. • Fecha de elaboración si corresponde • Fecha de elaboración si corresponde",8,SE,CLP,7,Recepción Conforme,1,4.767676767676767,99,281142.0,0.0,9530252.0,19.0,1757331.0,11006441.0,,CL,7,2,2026-04-13T10:32:03.307,2026-04-13T10:40:52.017,2026-04-13T17:19:13.733,,2026-04-13T10:37:00,7137,HOSPITAL COMUNITARIO DE SALUD FAMILIAR DE BULNES,61.607.003-7,1057511,Bienes y Servicios,Servicio Público,BALMACEDA N° 431 BULNES.,Bulnes,Región del Ñuble,CL,Sofia Ester Puentes Villegas,Comprador,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 93131600, 'Categoria': 'Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Ayuda y asistencia humanitaria / Política, planificación y programas de alimentación y nutrición', 'CodigoProducto': 93131608, 'Producto': 'Servicios de suministro de alimentos', 'EspecificacionComprador': 'ALIMENTACIÓN PARA FUNCIONARIOS JORNADA LABORAL TURNOS ABRIL 2026', 'EspecificacionProveedor': 'ALIMENTACIÓN PARA FUNCIONARIOS JORNADA LABORAL TURNOS ABRIL 2026', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 9530252.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 9530252.0}]",ALIMENTACION,2026-04-23T15:36:13.371440,,,,,,
1057508-1555-SE26,RECARGA TARJETA ALIMENTACION CONDUCTORES ,12,Recepción Conforme,1057508-35-LR25,"RECARGA TARJETA ALIMENTACION  CONDUCTORES,  RESOLUCION EXENTA 3DN°2708 DEL 12/06/2025, ID 1057508-35-LR25

FEBRERO Y MARZO 2026
-	Dirección envió documento tributario electrónico “DTE” a la casilla de intercambio en SII es  dipresrecepcion@custodium.com , el DTE que no se encuentre direccionado a dicha casilla de ""intercambio en SII"" será reclamado de forma automática transcurrida 48 horas desde la recepción del DTE en SII. 
-	El DTE debe contener el campo 801 o campo de referencia con el número de la orden de compra correctamente, esto dado que el sistema se encuentra integrado con mercado público, SIGFE y SII. 
-	Orden de compra en estado aceptada en Mercado Público.
",8,SE,CLP,7,Recepción Conforme,1,4.767676767676767,99,10011.0,0.0,263445.0,19.0,48152.0,301586.0,,Other,7,2,2026-04-16T15:16:38.517,2026-04-20T10:47:24.283,2026-04-21T10:19:53.933,,2026-04-16T15:27:00,6932,SERVICIO DE SALUD NUBLE,61.607.000-2,1057508,Bienes y Servicios,Servicio Público,Sin dirección Registrada para Unidad de Compra,Chillán,Región del Ñuble,Other,Ruth Elena Saavedra Cádiz,Jefa Unidad Adquisiciones SSÑ,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,2,"[{'Correlativo': 1, 'CodigoCategoria': 93131600, 'Categoria': 'Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Ayuda y asistencia humanitaria / Política, planificación y programas de alimentación y nutrición', 'CodigoProducto': 93131608, 'Producto': 'Servicios de suministro de alimentos', 'EspecificacionComprador': 'RECARGA TARJETA ALIMENTACION', 'EspecificacionProveedor': 'RECARGA TARJETA ALIMENTACION - CONDUCTORES (FEBRERO 2026)', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 87815.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 87815.0}, {'Correlativo': 2, 'CodigoCategoria': 93131600, 'Categoria': 'Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Ayuda y asistencia humanitaria / Política, planificación y programas de alimentación y nutrición', 'CodigoProducto': 93131608, 'Producto': 'Servicios de suministro de alimentos', 'EspecificacionComprador': 'RECARGA TARJETA ALIMENTACION', 'EspecificacionProveedor': 'RECARGA TARJETA ALIMENTACION - CONDUCTORES (MARZO 2026)', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 175630.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 175630.0}]",ALIMENTACION,2026-04-23T15:36:13.371440,,,,,,
4157-245-AG26,TARJETA DE ALIMENTACIÓN SALIDA PEDAGÓGICA ESCUELA NAVIDAD REQ° 960205-13<257>,4,Enviada a proveedor,,"TARJETA DE ALIMENTACIÓN SALIDA PEDAGÓGICA LOTA 14.05.2026 ESCUELA NAVIDAD, SEGÚN   REQUERIMIENTO N° 960205-13<257>. FONDO SEP. 
Orden de Compra generada por invitación a compra ágil: 4157-203-COT26",13,AG,CLP,1,Nueva orden de compra,1,4.767676767676767,99,0.0,0.0,252101.0,19.0,47899.0,300000.0,2152201001001,Other,7,2,2026-04-23T11:05:10.94,2026-04-23T11:09:32.367,,,2026-04-23T11:08:00,123784,Ilustre Municipalidad de El Carmen,69.141.700-K,5076,Educación,Educación,,El Carmen,Región del Ñuble,Other,Guisela Nicole Sandoval Baeza,Administrativo DAEM,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,AV ANDRES BELLO N° 2687,Las Condes,Región Metropolitana de Santiago,Other,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 14111800, 'Categoria': 'Productos de papel / Productos de papel / Papeles comerciales', 'CodigoProducto': 14111801, 'Producto': 'Tickets o rollos de tickets', 'EspecificacionComprador': 'TARJETA ALIMENTACIÓN EDENRED POR UN MONTO DE $300.000-\r\n\r\n12 PERSONAS $12.000 C/U', 'EspecificacionProveedor': '', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 252101.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 0.0}]",ALIMENTACION,2026-04-23T15:36:13.371440,,,,,,
5827-9-CM26,Tarjeta de Alimentación,4,Enviada a proveedor,,Orden de Compra codigo: 5827-9-CM26 dirigida a EDENRED CHILE SOCIEDAD ANONIMA,9,CM,CLP,1,Nueva orden de compra,1,4.767676767676767,99,20168.0,0.0,403361.0,19.0,72807.0,456000.0,,CL,12,2,2026-04-23T09:19:48.82,2026-04-23T10:56:03.653,,,2026-04-23T10:45:00,111870,DIVISION LOGISTICA DEL EJERCITO,61.977.660-7,296960,Jefatura de Instalaciones de Salud - JIS,,"Alameda General Bernardo O'Higgins 1449, Torre 3, Piso 10",Santiago,Región Metropolitana de Santiago,CL,Flavia Manque,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,AV ANDRES BELLO N° 2687,,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 403361.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 403361.0}]",ALIMENTACION,2026-04-23T15:36:13.371440,,,,,,
